timestamp,value,metric
2025-07-08 07:30:00,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:01,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:02,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:03,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:04,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:05,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:06,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:07,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:08,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:09,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:10,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:11,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:12,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:13,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:14,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:15,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:16,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:17,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:18,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:19,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:20,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:21,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:22,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:23,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:24,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:25,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:26,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:27,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:28,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:29,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:30,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:31,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:32,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:33,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:34,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:35,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:36,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:37,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:38,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:39,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:40,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:41,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:42,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:43,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:44,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:45,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:46,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:47,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:48,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:49,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:50,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:51,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:52,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:53,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:54,0.0,sum(mc_players_online_local{world='world'})
2025-07-08 07:30:55,0.0,sum(mc_players_online_local{world='world'})
